account_id,user_id,bank_name,account_type,opening_balance,current_balance
690,353,SBI,Current,10318,0
691,354,Canara Bank,Current,64445,81957
692,355,Canara Bank,Current,27856,48646
693,355,Kotak Mahindra,Savings,59627,41442
694,356,Canara Bank,Current,5183,38670
695,357,Punjab National Bank,Savings,55506,60976
696,357,Punjab National Bank,Current,87722,69889
697,358,HDFC,Current,81727,118306
698,359,Kotak Mahindra,Savings,98897,146206
699,359,Canara Bank,Current,33616,25312
700,359,SBI,Savings,77788,68363
701,360,Kotak Mahindra,Savings,13551,16900
702,360,Canara Bank,Current,55213,44951
703,361,Canara Bank,Current,81959,118650
704,361,Punjab National Bank,Savings,44342,82161
705,362,SBI,Savings,91637,132827
706,362,SBI,Savings,7946,31710
707,363,Punjab National Bank,Savings,98723,102141
708,364,Punjab National Bank,Current,42432,24039
709,364,SBI,Savings,61981,70711
710,365,Canara Bank,Savings,89546,126889
711,365,HDFC,Current,86722,69146
712,365,ICICI,Savings,36990,47388
713,366,Punjab National Bank,Savings,20989,64487
714,367,SBI,Current,91859,112684
715,367,HDFC,Savings,98181,120733
716,368,Kotak Mahindra,Current,27494,13436
717,369,SBI,Current,99726,107263
718,369,Axis Bank,Current,21911,55720
719,369,Canara Bank,Savings,89403,103525
720,370,HDFC,Current,36926,44997
721,370,Canara Bank,Current,8438,23522
722,371,SBI,Current,80134,84202
723,372,ICICI,Savings,69849,77357
724,373,Punjab National Bank,Current,81695,104907
725,373,SBI,Current,6155,0
726,374,Kotak Mahindra,Savings,86214,84412
727,375,Axis Bank,Savings,19380,39468
728,376,ICICI,Savings,69700,54458
729,376,Axis Bank,Current,44871,44447
730,376,Axis Bank,Savings,27607,52923
731,377,Axis Bank,Current,36284,28455
732,378,Axis Bank,Current,38179,25563
733,378,Canara Bank,Current,78333,80190
734,378,SBI,Savings,46407,72513
735,379,ICICI,Savings,95480,137470
736,379,HDFC,Current,10082,25231
737,380,SBI,Current,23680,47437
738,380,Canara Bank,Current,48686,80206
739,380,Axis Bank,Savings,75274,56293
740,381,Canara Bank,Savings,24527,74208
741,381,SBI,Savings,7987,39545
742,382,HDFC,Current,96458,100457
743,382,SBI,Current,97246,143773
744,383,Punjab National Bank,Savings,16255,12026
745,383,Axis Bank,Current,31545,29547
746,383,Canara Bank,Savings,38444,45829
747,384,Axis Bank,Savings,12294,54611
748,385,HDFC,Current,82691,74399
749,385,SBI,Current,94202,91976
750,385,Canara Bank,Current,28726,56857
751,386,Punjab National Bank,Savings,53997,80163
752,386,HDFC,Savings,81290,91393
753,387,Axis Bank,Current,61145,60852
754,387,Punjab National Bank,Savings,17438,62079
755,387,Canara Bank,Savings,73025,92106
756,388,Canara Bank,Savings,68341,74548
757,388,ICICI,Savings,53480,62932
758,389,Canara Bank,Savings,13977,49678
759,389,HDFC,Current,70682,54626
760,390,HDFC,Current,12925,13068
761,390,SBI,Current,63636,68567
762,390,Canara Bank,Savings,32703,43387
763,391,Axis Bank,Current,99352,112470
764,392,Punjab National Bank,Current,56070,52427
765,393,Axis Bank,Savings,34657,15579
766,394,Kotak Mahindra,Savings,49799,36270
767,395,HDFC,Current,69000,114332
768,396,Canara Bank,Current,30438,48950
769,396,Punjab National Bank,Current,96875,109977
770,397,Kotak Mahindra,Current,34285,49053
771,397,SBI,Current,52714,56911
772,398,HDFC,Savings,23327,5490
773,398,SBI,Savings,88892,126524
774,398,HDFC,Savings,95369,92893
775,399,Kotak Mahindra,Savings,65265,56283
776,399,Canara Bank,Savings,24162,71897
777,399,Axis Bank,Current,60936,101678
778,400,HDFC,Savings,91557,87119
779,400,SBI,Savings,44023,61495
780,400,Canara Bank,Current,5950,24446
781,401,SBI,Current,96823,111136
782,401,SBI,Savings,75065,106404
783,402,Axis Bank,Savings,67972,113853
784,403,Canara Bank,Savings,32387,71844
785,404,HDFC,Current,27990,63555
786,404,HDFC,Savings,63286,112750
787,405,SBI,Savings,5804,0
788,406,SBI,Current,69169,51988
789,406,Canara Bank,Savings,88767,75442
790,406,Axis Bank,Current,56420,69933
791,407,Canara Bank,Savings,23542,64346
792,408,HDFC,Savings,13590,58391
793,409,SBI,Current,88776,118506
794,410,HDFC,Savings,81772,94160
795,410,HDFC,Savings,60254,49142
796,410,Canara Bank,Savings,28243,52441
797,411,Kotak Mahindra,Current,36513,54800
798,411,Punjab National Bank,Current,86406,75931
799,412,Canara Bank,Savings,19030,24356
800,412,HDFC,Current,58196,49059
801,413,HDFC,Current,40173,88110
802,413,Canara Bank,Savings,15101,12015
803,414,ICICI,Current,93111,119941
804,414,SBI,Savings,95819,123251
805,414,ICICI,Current,10601,17640
806,415,Canara Bank,Savings,7615,24459
807,416,HDFC,Current,81552,106233
808,416,SBI,Current,15858,13269
809,416,Punjab National Bank,Savings,88059,86556
810,417,Punjab National Bank,Current,8225,28991
811,417,Axis Bank,Savings,10558,23807
812,418,Axis Bank,Savings,62072,81862
813,418,Canara Bank,Savings,38831,61729
814,419,Kotak Mahindra,Current,21362,58221
815,419,Kotak Mahindra,Current,12826,0
816,419,Kotak Mahindra,Savings,81223,73764
817,420,Kotak Mahindra,Savings,41557,48248
818,420,Canara Bank,Current,81621,106790
819,421,Canara Bank,Savings,13130,44267
820,421,SBI,Savings,66799,99215
821,422,SBI,Savings,57074,62470
822,422,SBI,Current,94395,77510
823,422,SBI,Savings,68383,65238
824,423,Punjab National Bank,Current,17824,31650
825,423,HDFC,Savings,16633,62023
826,424,ICICI,Savings,66379,92360
827,424,Canara Bank,Savings,91191,123580
828,425,ICICI,Savings,78949,80476
829,425,HDFC,Savings,30464,52345
830,426,Axis Bank,Savings,30162,37733
831,426,SBI,Savings,94963,102371
832,426,SBI,Current,85837,113474
833,427,HDFC,Current,5834,53716
834,428,Kotak Mahindra,Savings,12743,41005
835,429,HDFC,Current,74794,91250
836,429,Canara Bank,Current,11756,4351
837,430,Punjab National Bank,Current,17757,22217
838,431,HDFC,Savings,20386,44705
839,431,HDFC,Current,35683,60646
840,432,ICICI,Savings,28042,60340
841,432,Canara Bank,Savings,6862,49713
842,432,SBI,Savings,47122,46245
843,433,ICICI,Savings,35982,57549
844,433,Axis Bank,Current,48500,80971
845,433,Punjab National Bank,Savings,47344,57371
846,434,HDFC,Savings,90097,124968
847,434,SBI,Savings,20648,69841
848,434,Kotak Mahindra,Savings,85592,131170
849,435,Axis Bank,Current,12767,35032
850,436,HDFC,Savings,71109,115737
851,436,Canara Bank,Savings,86724,83377
852,436,Axis Bank,Current,74565,73298
853,437,Punjab National Bank,Current,25389,62685
854,437,ICICI,Current,97610,79923
855,437,Kotak Mahindra,Current,24783,8238
856,438,Punjab National Bank,Savings,17344,54737
857,439,Kotak Mahindra,Savings,21313,51187
858,440,Punjab National Bank,Savings,44351,84852
859,440,Kotak Mahindra,Current,71330,53155
860,440,HDFC,Savings,55276,81035
861,441,ICICI,Current,72988,112350
862,442,Axis Bank,Savings,93904,94047
863,443,Axis Bank,Savings,99634,116750
864,444,Punjab National Bank,Current,72726,95861
865,444,Kotak Mahindra,Savings,87017,94193
866,445,SBI,Savings,92468,74148
867,446,Canara Bank,Savings,82122,112935
868,447,Canara Bank,Savings,62409,101803
869,447,SBI,Savings,76258,69320
870,447,Kotak Mahindra,Current,58965,50711
871,448,Kotak Mahindra,Savings,35684,33696
872,449,Canara Bank,Current,25216,28277
873,450,ICICI,Current,77480,68515
874,450,Kotak Mahindra,Current,64809,112224
875,451,Axis Bank,Current,87846,131512
876,452,Punjab National Bank,Current,17106,23583
877,453,Canara Bank,Current,6087,0
878,453,ICICI,Savings,7564,48818
879,454,Axis Bank,Savings,95450,89428
880,454,HDFC,Current,26389,47894
881,454,ICICI,Savings,22784,39586
882,455,ICICI,Current,27920,42271
883,455,Punjab National Bank,Savings,34280,74580
884,455,Punjab National Bank,Savings,48782,77698
885,456,Axis Bank,Current,92793,81322
886,456,ICICI,Current,99590,83881
887,457,HDFC,Savings,31525,35604
888,458,ICICI,Savings,10573,0
889,458,Punjab National Bank,Savings,34740,47833
890,458,HDFC,Current,65888,73675
891,459,SBI,Current,62120,81458
892,460,HDFC,Current,43701,28826
893,460,SBI,Current,12365,22906
894,460,Kotak Mahindra,Savings,94718,123793
895,461,Canara Bank,Current,75568,102871
896,461,Kotak Mahindra,Current,76148,56975
897,462,HDFC,Current,85109,113362
898,463,ICICI,Current,86723,89147
899,463,Axis Bank,Current,21097,66166
900,464,HDFC,Savings,9075,31036
901,465,Canara Bank,Savings,6838,20282
902,465,ICICI,Current,18283,62727
903,465,Punjab National Bank,Current,71508,56197
904,466,ICICI,Savings,65524,48130
905,466,Canara Bank,Savings,80742,79998
906,467,Canara Bank,Savings,14814,63233
907,467,HDFC,Savings,53258,88390
908,468,Axis Bank,Savings,56416,92665
909,468,Axis Bank,Current,96419,103014
910,469,Canara Bank,Savings,83286,85644
911,470,Kotak Mahindra,Current,63474,91962
912,470,Axis Bank,Current,63716,86291
913,470,HDFC,Savings,67451,105797
914,471,Kotak Mahindra,Savings,51108,82229
915,471,Kotak Mahindra,Savings,94212,80947
916,472,Kotak Mahindra,Savings,45482,56321
917,472,ICICI,Savings,12159,60192
918,472,ICICI,Savings,27142,36027
919,473,Canara Bank,Current,82079,103997
920,473,Axis Bank,Savings,59716,76188
921,474,Axis Bank,Current,79359,97793
922,475,HDFC,Savings,35600,71892
923,475,Punjab National Bank,Savings,36920,76767
924,475,Punjab National Bank,Savings,86490,78413
925,476,ICICI,Savings,60201,60030
926,476,Punjab National Bank,Current,48156,74575
927,477,Canara Bank,Savings,49192,69282
928,477,SBI,Savings,10369,38897
929,478,Axis Bank,Savings,51836,88161
930,478,Punjab National Bank,Savings,34161,66522
931,478,ICICI,Current,49917,88815
932,479,SBI,Savings,28827,41728
933,479,ICICI,Current,25776,46926
934,480,Punjab National Bank,Current,36637,32039
935,480,Punjab National Bank,Savings,97951,123587
936,480,ICICI,Current,93941,136613
937,481,SBI,Current,86380,88671
938,481,ICICI,Current,86190,118599
939,482,SBI,Savings,5219,3763
940,483,Axis Bank,Current,93817,129765
941,483,HDFC,Savings,39356,65331
942,483,HDFC,Savings,9827,36893
943,484,SBI,Savings,98631,120685
944,484,Punjab National Bank,Savings,12945,36373
945,485,ICICI,Savings,33777,81931
946,486,ICICI,Savings,76757,85812
947,486,SBI,Savings,35694,32210
948,486,HDFC,Savings,12716,20159
949,487,SBI,Current,65106,112257
950,487,Kotak Mahindra,Current,86291,85691
951,488,Canara Bank,Savings,46706,79725
952,488,HDFC,Current,66568,103976
953,488,ICICI,Savings,62940,84273
954,489,ICICI,Current,35283,47604
955,489,ICICI,Savings,22088,69700
956,489,SBI,Savings,59483,49160
957,490,Axis Bank,Savings,10132,0
958,491,Canara Bank,Savings,10416,4606
959,492,Axis Bank,Current,25798,10779
960,492,Kotak Mahindra,Savings,88491,123929
961,492,Kotak Mahindra,Savings,78575,92720
962,493,SBI,Savings,96027,143148
963,494,Punjab National Bank,Savings,88314,128937
964,494,Kotak Mahindra,Savings,11119,43084
965,495,Axis Bank,Current,76548,79317
966,495,ICICI,Savings,57328,56861
967,495,Punjab National Bank,Current,81263,103361
968,496,SBI,Savings,42372,23009
969,496,Kotak Mahindra,Current,96897,86048
970,496,Kotak Mahindra,Savings,21912,6931
971,497,Canara Bank,Current,28959,75699
972,497,Kotak Mahindra,Current,18738,13133
973,497,Punjab National Bank,Current,73756,113193
974,498,ICICI,Savings,44460,67132
975,498,ICICI,Current,87561,82653
976,498,ICICI,Current,33182,40474
977,499,Kotak Mahindra,Savings,99752,119510
978,499,Kotak Mahindra,Current,55454,72918
979,499,HDFC,Current,77342,61825
980,500,HDFC,Current,55639,101168
981,500,HDFC,Savings,94440,89716
982,500,Kotak Mahindra,Current,57601,92635
